Language,Operation,Iteration,Time,Length
C,C_malloc,1,1.00135803222656e-05,10000000
C,C_malloc,2,4.05311584472656e-06,10000000
C,C_malloc,3,1.9073486328125e-06,10000000
C,C_malloc,4,3.09944152832031e-06,10000000
C,C_malloc,5,2.14576721191406e-06,10000000
C,C_malloc,6,1.9073486328125e-06,10000000
C,C_malloc,7,1.9073486328125e-06,10000000
C,C_malloc,8,2.14576721191406e-06,10000000
C,C_malloc,9,2.14576721191406e-06,10000000
C,C_malloc,10,1.9073486328125e-06,10000000
C,C_malloc,11,2.14576721191406e-06,10000000
C,C_malloc,12,1.9073486328125e-06,10000000
C,C_malloc,13,2.86102294921875e-06,10000000
C,C_malloc,14,1.9073486328125e-06,10000000
C,C_malloc,15,2.14576721191406e-06,10000000
C,C_malloc,16,1.9073486328125e-06,10000000
C,C_malloc,17,2.86102294921875e-06,10000000
C,C_malloc,18,2.14576721191406e-06,10000000
C,C_malloc,19,2.86102294921875e-06,10000000
C,C_malloc,20,2.86102294921875e-06,10000000
C,C_malloc,21,2.14576721191406e-06,10000000
C,C_malloc,22,1.9073486328125e-06,10000000
C,C_malloc,23,1.9073486328125e-06,10000000
C,C_malloc,24,2.14576721191406e-06,10000000
C,C_malloc,25,2.14576721191406e-06,10000000
C,C_malloc,26,1.9073486328125e-06,10000000
C,C_malloc,27,1.9073486328125e-06,10000000
C,C_malloc,28,3.09944152832031e-06,10000000
C,C_malloc,29,1.9073486328125e-06,10000000
C,C_malloc,30,1.9073486328125e-06,10000000
C,C_malloc,31,2.14576721191406e-06,10000000
C,C_malloc,32,1.9073486328125e-06,10000000
C,C_malloc,33,1.9073486328125e-06,10000000
C,C_malloc,34,3.09944152832031e-06,10000000
C,C_malloc,35,2.14576721191406e-06,10000000
C,C_malloc,36,1.9073486328125e-06,10000000
C,C_malloc,37,1.9073486328125e-06,10000000
C,C_malloc,38,2.14576721191406e-06,10000000
C,C_malloc,39,1.9073486328125e-06,10000000
C,C_malloc,40,1.9073486328125e-06,10000000
C,C_malloc,41,2.14576721191406e-06,10000000
C,C_malloc,42,1.9073486328125e-06,10000000
C,C_malloc,43,3.814697265625e-06,10000000
C,C_malloc,44,1.9073486328125e-06,10000000
C,C_malloc,45,2.14576721191406e-06,10000000
C,C_malloc,46,2.14576721191406e-06,10000000
C,C_malloc,47,1.9073486328125e-06,10000000
C,C_malloc,48,3.09944152832031e-06,10000000
C,C_malloc,49,1.9073486328125e-06,10000000
C,C_malloc,50,1.9073486328125e-06,10000000
C,C_malloc,51,2.14576721191406e-06,10000000
C,C_malloc,52,2.14576721191406e-06,10000000
C,C_malloc,53,1.9073486328125e-06,10000000
C,C_malloc,54,1.9073486328125e-06,10000000
C,C_malloc,55,2.14576721191406e-06,10000000
C,C_malloc,56,1.9073486328125e-06,10000000
C,C_malloc,57,1.9073486328125e-06,10000000
C,C_malloc,58,3.09944152832031e-06,10000000
C,C_malloc,59,2.14576721191406e-06,10000000
C,C_malloc,60,2.86102294921875e-06,10000000
C,C_malloc,61,1.9073486328125e-06,10000000
C,C_malloc,62,2.14576721191406e-06,10000000
C,C_malloc,63,1.9073486328125e-06,10000000
C,C_malloc,64,1.9073486328125e-06,10000000
C,C_malloc,65,3.09944152832031e-06,10000000
C,C_malloc,66,2.14576721191406e-06,10000000
C,C_malloc,67,1.9073486328125e-06,10000000
C,C_malloc,68,1.9073486328125e-06,10000000
C,C_malloc,69,2.14576721191406e-06,10000000
C,C_malloc,70,1.9073486328125e-06,10000000
C,C_malloc,71,1.9073486328125e-06,10000000
C,C_malloc,72,2.14576721191406e-06,10000000
C,C_malloc,73,3.09944152832031e-06,10000000
C,C_malloc,74,2.86102294921875e-06,10000000
C,C_malloc,75,1.9073486328125e-06,10000000
C,C_malloc,76,2.14576721191406e-06,10000000
C,C_malloc,77,2.86102294921875e-06,10000000
C,C_malloc,78,2.86102294921875e-06,10000000
C,C_malloc,79,3.09944152832031e-06,10000000
C,C_malloc,80,2.14576721191406e-06,10000000
C,C_malloc,81,1.9073486328125e-06,10000000
C,C_malloc,82,1.9073486328125e-06,10000000
C,C_malloc,83,2.14576721191406e-06,10000000
C,C_malloc,84,1.9073486328125e-06,10000000
C,C_malloc,85,1.9073486328125e-06,10000000
C,C_malloc,86,2.14576721191406e-06,10000000
C,C_malloc,87,1.9073486328125e-06,10000000
C,C_malloc,88,2.86102294921875e-06,10000000
C,C_malloc,89,1.12056732177734e-05,10000000
C,C_malloc,90,1.9073486328125e-06,10000000
C,C_malloc,91,1.9073486328125e-06,10000000
C,C_malloc,92,2.14576721191406e-06,10000000
C,C_malloc,93,1.9073486328125e-06,10000000
C,C_malloc,94,1.9073486328125e-06,10000000
C,C_malloc,95,2.14576721191406e-06,10000000
C,C_malloc,96,2.86102294921875e-06,10000000
C,C_malloc,97,1.9073486328125e-06,10000000
C,C_malloc,98,2.14576721191406e-06,10000000
C,C_malloc,99,1.9073486328125e-06,10000000
C,C_malloc,100,1.9073486328125e-06,10000000
C,C_malloc_and_set,1,0.0025019645690918,10000000
C,C_malloc_and_set,2,0.00247883796691895,10000000
C,C_malloc_and_set,3,0.00238204002380371,10000000
C,C_malloc_and_set,4,0.00235795974731445,10000000
C,C_malloc_and_set,5,0.00261092185974121,10000000
C,C_malloc_and_set,6,0.00262808799743652,10000000
C,C_malloc_and_set,7,0.00242996215820312,10000000
C,C_malloc_and_set,8,0.00244688987731934,10000000
C,C_malloc_and_set,9,0.00231814384460449,10000000
C,C_malloc_and_set,10,0.00230908393859863,10000000
C,C_malloc_and_set,11,0.00230884552001953,10000000
C,C_malloc_and_set,12,0.00220608711242676,10000000
C,C_malloc_and_set,13,0.00229287147521973,10000000
C,C_malloc_and_set,14,0.00223803520202637,10000000
C,C_malloc_and_set,15,0.00226497650146484,10000000
C,C_malloc_and_set,16,0.00231194496154785,10000000
C,C_malloc_and_set,17,0.0023190975189209,10000000
C,C_malloc_and_set,18,0.00233197212219238,10000000
C,C_malloc_and_set,19,0.00232911109924316,10000000
C,C_malloc_and_set,20,0.00242710113525391,10000000
C,C_malloc_and_set,21,0.00242805480957031,10000000
C,C_malloc_and_set,22,0.00235605239868164,10000000
C,C_malloc_and_set,23,0.00234007835388184,10000000
C,C_malloc_and_set,24,0.00223612785339355,10000000
C,C_malloc_and_set,25,0.00229501724243164,10000000
C,C_malloc_and_set,26,0.00235986709594727,10000000
C,C_malloc_and_set,27,0.0023350715637207,10000000
C,C_malloc_and_set,28,0.00223779678344727,10000000
C,C_malloc_and_set,29,0.00249290466308594,10000000
C,C_malloc_and_set,30,0.00226593017578125,10000000
C,C_malloc_and_set,31,0.00221896171569824,10000000
C,C_malloc_and_set,32,0.00228214263916016,10000000
C,C_malloc_and_set,33,0.00226998329162598,10000000
C,C_malloc_and_set,34,0.00235915184020996,10000000
C,C_malloc_and_set,35,0.00220704078674316,10000000
C,C_malloc_and_set,36,0.00229001045227051,10000000
C,C_malloc_and_set,37,0.00230598449707031,10000000
C,C_malloc_and_set,38,0.00228309631347656,10000000
C,C_malloc_and_set,39,0.00218510627746582,10000000
C,C_malloc_and_set,40,0.00216507911682129,10000000
C,C_malloc_and_set,41,0.00218510627746582,10000000
C,C_malloc_and_set,42,0.00218987464904785,10000000
C,C_malloc_and_set,43,0.00221014022827148,10000000
C,C_malloc_and_set,44,0.00214219093322754,10000000
C,C_malloc_and_set,45,0.00217604637145996,10000000
C,C_malloc_and_set,46,0.00217890739440918,10000000
C,C_malloc_and_set,47,0.00217390060424805,10000000
C,C_malloc_and_set,48,0.00243616104125977,10000000
C,C_malloc_and_set,49,0.00232219696044922,10000000
C,C_malloc_and_set,50,0.00217413902282715,10000000
C,C_malloc_and_set,51,0.0021519660949707,10000000
C,C_malloc_and_set,52,0.00217700004577637,10000000
C,C_malloc_and_set,53,0.00214815139770508,10000000
C,C_malloc_and_set,54,0.00226998329162598,10000000
C,C_malloc_and_set,55,0.00250387191772461,10000000
C,C_malloc_and_set,56,0.00213313102722168,10000000
C,C_malloc_and_set,57,0.00215816497802734,10000000
C,C_malloc_and_set,58,0.00216794013977051,10000000
C,C_malloc_and_set,59,0.00218296051025391,10000000
C,C_malloc_and_set,60,0.00213980674743652,10000000
C,C_malloc_and_set,61,0.00223398208618164,10000000
C,C_malloc_and_set,62,0.00213408470153809,10000000
C,C_malloc_and_set,63,0.00218987464904785,10000000
C,C_malloc_and_set,64,0.00215601921081543,10000000
C,C_malloc_and_set,65,0.00212812423706055,10000000
C,C_malloc_and_set,66,0.00216317176818848,10000000
C,C_malloc_and_set,67,0.00213408470153809,10000000
C,C_malloc_and_set,68,0.00217223167419434,10000000
C,C_malloc_and_set,69,0.00212907791137695,10000000
C,C_malloc_and_set,70,0.0022130012512207,10000000
C,C_malloc_and_set,71,0.00249481201171875,10000000
C,C_malloc_and_set,72,0.00220012664794922,10000000
C,C_malloc_and_set,73,0.00212001800537109,10000000
C,C_malloc_and_set,74,0.0021359920501709,10000000
C,C_malloc_and_set,75,0.00212788581848145,10000000
C,C_malloc_and_set,76,0.0021209716796875,10000000
C,C_malloc_and_set,77,0.00212788581848145,10000000
C,C_malloc_and_set,78,0.00212502479553223,10000000
C,C_malloc_and_set,79,0.00212502479553223,10000000
C,C_malloc_and_set,80,0.00223684310913086,10000000
C,C_malloc_and_set,81,0.00213003158569336,10000000
C,C_malloc_and_set,82,0.00212383270263672,10000000
C,C_malloc_and_set,83,0.00213408470153809,10000000
C,C_malloc_and_set,84,0.00211620330810547,10000000
C,C_malloc_and_set,85,0.00213313102722168,10000000
C,C_malloc_and_set,86,0.00216913223266602,10000000
C,C_malloc_and_set,87,0.00214910507202148,10000000
C,C_malloc_and_set,88,0.00217080116271973,10000000
C,C_malloc_and_set,89,0.00211405754089355,10000000
C,C_malloc_and_set,90,0.00212717056274414,10000000
C,C_malloc_and_set,91,0.00211906433105469,10000000
C,C_malloc_and_set,92,0.00213098526000977,10000000
C,C_malloc_and_set,93,0.00211715698242188,10000000
C,C_malloc_and_set,94,0.00242209434509277,10000000
C,C_malloc_and_set,95,0.00232505798339844,10000000
C,C_malloc_and_set,96,0.00220799446105957,10000000
C,C_malloc_and_set,97,0.0021519660949707,10000000
C,C_malloc_and_set,98,0.00216913223266602,10000000
C,C_malloc_and_set,99,0.0021209716796875,10000000
C,C_malloc_and_set,100,0.00212788581848145,10000000
Perl,pack_dot_zero,1,0.00247716903686523,10000000
Perl,pack_dot_zero,2,0.00280594825744629,10000000
Perl,pack_dot_zero,3,0.00287699699401855,10000000
Perl,pack_dot_zero,4,0.0022280216217041,10000000
Perl,pack_dot_zero,5,0.000252008438110352,10000000
Perl,pack_dot_zero,6,0.000308036804199219,10000000
Perl,pack_dot_zero,7,0.000267982482910156,10000000
Perl,pack_dot_zero,8,0.00030207633972168,10000000
Perl,pack_dot_zero,9,0.000262975692749023,10000000
Perl,pack_dot_zero,10,0.000256776809692383,10000000
Perl,pack_dot_zero,11,0.000262022018432617,10000000
Perl,pack_dot_zero,12,0.000257968902587891,10000000
Perl,pack_dot_zero,13,0.000260829925537109,10000000
Perl,pack_dot_zero,14,0.000258922576904297,10000000
Perl,pack_dot_zero,15,0.000259876251220703,10000000
Perl,pack_dot_zero,16,0.000259876251220703,10000000
Perl,pack_dot_zero,17,0.000261068344116211,10000000
Perl,pack_dot_zero,18,0.000256776809692383,10000000
Perl,pack_dot_zero,19,0.000262022018432617,10000000
Perl,pack_dot_zero,20,0.00026392936706543,10000000
Perl,pack_dot_zero,21,0.000318050384521484,10000000
Perl,pack_dot_zero,22,0.000271081924438477,10000000
Perl,pack_dot_zero,23,0.000295162200927734,10000000
Perl,pack_dot_zero,24,0.00027012825012207,10000000
Perl,pack_dot_zero,25,0.000260114669799805,10000000
Perl,pack_dot_zero,26,0.000260114669799805,10000000
Perl,pack_dot_zero,27,0.000262022018432617,10000000
Perl,pack_dot_zero,28,0.000259160995483398,10000000
Perl,pack_dot_zero,29,0.000260114669799805,10000000
Perl,pack_dot_zero,30,0.000259160995483398,10000000
Perl,pack_dot_zero,31,0.000262022018432617,10000000
Perl,pack_dot_zero,32,0.000257968902587891,10000000
Perl,pack_dot_zero,33,0.000260829925537109,10000000
Perl,pack_dot_zero,34,0.000258922576904297,10000000
Perl,pack_dot_zero,35,0.000260114669799805,10000000
Perl,pack_dot_zero,36,0.000277996063232422,10000000
Perl,pack_dot_zero,37,0.00026702880859375,10000000
Perl,pack_dot_zero,38,0.000356912612915039,10000000
Perl,pack_dot_zero,39,0.000274896621704102,10000000
Perl,pack_dot_zero,40,0.000273942947387695,10000000
Perl,pack_dot_zero,41,0.000277996063232422,10000000
Perl,pack_dot_zero,42,0.000260114669799805,10000000
Perl,pack_dot_zero,43,0.000261068344116211,10000000
Perl,pack_dot_zero,44,0.000259876251220703,10000000
Perl,pack_dot_zero,45,0.000259876251220703,10000000
Perl,pack_dot_zero,46,0.000258922576904297,10000000
Perl,pack_dot_zero,47,0.000262975692749023,10000000
Perl,pack_dot_zero,48,0.000266790390014648,10000000
Perl,pack_dot_zero,49,0.000260114669799805,10000000
Perl,pack_dot_zero,50,0.000298023223876953,10000000
Perl,pack_dot_zero,51,0.000285148620605469,10000000
Perl,pack_dot_zero,52,0.000296115875244141,10000000
Perl,pack_dot_zero,53,0.000260114669799805,10000000
Perl,pack_dot_zero,54,0.000258207321166992,10000000
Perl,pack_dot_zero,55,0.000261068344116211,10000000
Perl,pack_dot_zero,56,0.000261068344116211,10000000
Perl,pack_dot_zero,57,0.000258922576904297,10000000
Perl,pack_dot_zero,58,0.000260829925537109,10000000
Perl,pack_dot_zero,59,0.000261068344116211,10000000
Perl,pack_dot_zero,60,0.000260114669799805,10000000
Perl,pack_dot_zero,61,0.000261068344116211,10000000
Perl,pack_dot_zero,62,0.000258922576904297,10000000
Perl,pack_dot_zero,63,0.000259876251220703,10000000
Perl,pack_dot_zero,64,0.000260829925537109,10000000
Perl,pack_dot_zero,65,0.000261068344116211,10000000
Perl,pack_dot_zero,66,0.000257968902587891,10000000
Perl,pack_dot_zero,67,0.000317096710205078,10000000
Perl,pack_dot_zero,68,0.000265121459960938,10000000
Perl,pack_dot_zero,69,0.000262975692749023,10000000
Perl,pack_dot_zero,70,0.000257015228271484,10000000
Perl,pack_dot_zero,71,0.000260829925537109,10000000
Perl,pack_dot_zero,72,0.000258922576904297,10000000
Perl,pack_dot_zero,73,0.000262022018432617,10000000
Perl,pack_dot_zero,74,0.000260829925537109,10000000
Perl,pack_dot_zero,75,0.000257968902587891,10000000
Perl,pack_dot_zero,76,0.000258922576904297,10000000
Perl,pack_dot_zero,77,0.000260829925537109,10000000
Perl,pack_dot_zero,78,0.000260114669799805,10000000
Perl,pack_dot_zero,79,0.000260114669799805,10000000
Perl,pack_dot_zero,80,0.000257015228271484,10000000
Perl,pack_dot_zero,81,0.000280857086181641,10000000
Perl,pack_dot_zero,82,0.000283002853393555,10000000
Perl,pack_dot_zero,83,0.000260114669799805,10000000
Perl,pack_dot_zero,84,0.000259160995483398,10000000
Perl,pack_dot_zero,85,0.000285148620605469,10000000
Perl,pack_dot_zero,86,0.000260114669799805,10000000
Perl,pack_dot_zero,87,0.000264167785644531,10000000
Perl,pack_dot_zero,88,0.000260114669799805,10000000
Perl,pack_dot_zero,89,0.000259876251220703,10000000
Perl,pack_dot_zero,90,0.000259876251220703,10000000
Perl,pack_dot_zero,91,0.000262975692749023,10000000
Perl,pack_dot_zero,92,0.000258207321166992,10000000
Perl,pack_dot_zero,93,0.000259160995483398,10000000
Perl,pack_dot_zero,94,0.000257015228271484,10000000
Perl,pack_dot_zero,95,0.000258922576904297,10000000
Perl,pack_dot_zero,96,0.000257968902587891,10000000
Perl,pack_dot_zero,97,0.000298976898193359,10000000
Perl,pack_dot_zero,98,0.000257015228271484,10000000
Perl,pack_dot_zero,99,0.000260829925537109,10000000
Perl,pack_dot_zero,100,0.000258922576904297,10000000
Perl,pack_x_zero,1,0.00253009796142578,10000000
Perl,pack_x_zero,2,0.00287914276123047,10000000
Perl,pack_x_zero,3,0.00278997421264648,10000000
Perl,pack_x_zero,4,0.00243210792541504,10000000
Perl,pack_x_zero,5,0.000272035598754883,10000000
Perl,pack_x_zero,6,0.000294208526611328,10000000
Perl,pack_x_zero,7,0.00029301643371582,10000000
Perl,pack_x_zero,8,0.000345945358276367,10000000
Perl,pack_x_zero,9,0.000349998474121094,10000000
Perl,pack_x_zero,10,0.000299930572509766,10000000
Perl,pack_x_zero,11,0.000262975692749023,10000000
Perl,pack_x_zero,12,0.000262022018432617,10000000
Perl,pack_x_zero,13,0.000264167785644531,10000000
Perl,pack_x_zero,14,0.000262975692749023,10000000
Perl,pack_x_zero,15,0.000261068344116211,10000000
Perl,pack_x_zero,16,0.000261068344116211,10000000
