Language,Operation,Iteration,Time,Length
Perl,grow_set,1,0.00367093086242676,10000000
Perl,grow_set,2,0.00234699249267578,10000000
Perl,grow_set,3,0.000265121459960938,10000000
Perl,grow_set,4,0.000229835510253906,10000000
Perl,grow_set,5,0.000230073928833008,10000000
Perl,grow_set,6,0.000234127044677734,10000000
Perl,grow_set,7,0.000250101089477539,10000000
Perl,grow_set,8,0.000227928161621094,10000000
Perl,grow_set,9,0.000229120254516602,10000000
Perl,grow_set,10,0.000227928161621094,10000000
Perl,grow_set,11,0.000252008438110352,10000000
Perl,grow_set,12,0.00023198127746582,10000000
Perl,grow_set,13,0.000227928161621094,10000000
Perl,grow_set,14,0.0002288818359375,10000000
Perl,grow_set,15,0.000237941741943359,10000000
Perl,grow_set,16,0.000225067138671875,10000000
Perl,grow_set,17,0.000224113464355469,10000000
Perl,grow_set,18,0.000223159790039062,10000000
Perl,grow_set,19,0.000251054763793945,10000000
Perl,grow_set,20,0.000233888626098633,10000000
Perl,grow_set,21,0.000222921371459961,10000000
Perl,grow_set,22,0.000222921371459961,10000000
Perl,grow_set,23,0.000227928161621094,10000000
Perl,grow_set,24,0.000246047973632812,10000000
Perl,grow_set,25,0.000224828720092773,10000000
Perl,grow_set,26,0.000223875045776367,10000000
Perl,grow_set,27,0.000224113464355469,10000000
Perl,grow_set,28,0.000247955322265625,10000000
Perl,grow_set,29,0.000222921371459961,10000000
Perl,grow_set,30,0.000224113464355469,10000000
Perl,grow_set,31,0.000223159790039062,10000000
Perl,grow_set,32,0.000250101089477539,10000000
Perl,grow_set,33,0.000224113464355469,10000000
Perl,grow_set,34,0.000224828720092773,10000000
Perl,grow_set,35,0.000221967697143555,10000000
Perl,grow_set,36,0.00024104118347168,10000000
Perl,grow_set,37,0.000236034393310547,10000000
Perl,grow_set,38,0.000225067138671875,10000000
Perl,grow_set,39,0.000226020812988281,10000000
Perl,grow_set,40,0.000221014022827148,10000000
Perl,grow_set,41,0.000252008438110352,10000000
Perl,grow_set,42,0.000223875045776367,10000000
Perl,grow_set,43,0.000222921371459961,10000000
Perl,grow_set,44,0.000222921371459961,10000000
Perl,grow_set,45,0.000250101089477539,10000000
Perl,grow_set,46,0.000221967697143555,10000000
Perl,grow_set,47,0.000223159790039062,10000000
Perl,grow_set,48,0.000223159790039062,10000000
Perl,grow_set,49,0.000237941741943359,10000000
Perl,grow_set,50,0.000232934951782227,10000000
Perl,grow_set,51,0.000223875045776367,10000000
Perl,grow_set,52,0.000226020812988281,10000000
Perl,grow_set,53,0.000223159790039062,10000000
Perl,grow_set,54,0.000258922576904297,10000000
Perl,grow_set,55,0.000223875045776367,10000000
Perl,grow_set,56,0.000222921371459961,10000000
Perl,grow_set,57,0.000224113464355469,10000000
Perl,grow_set,58,0.000250816345214844,10000000
Perl,grow_set,59,0.000223875045776367,10000000
Perl,grow_set,60,0.000224113464355469,10000000
Perl,grow_set,61,0.000222921371459961,10000000
Perl,grow_set,62,0.000252008438110352,10000000
Perl,grow_set,63,0.000231027603149414,10000000
Perl,grow_set,64,0.000231027603149414,10000000
Perl,grow_set,65,0.000230073928833008,10000000
Perl,grow_set,66,0.000252008438110352,10000000
Perl,grow_set,67,0.0002288818359375,10000000
Perl,grow_set,68,0.000231027603149414,10000000
Perl,grow_set,69,0.000230073928833008,10000000
Perl,grow_set,70,0.000229120254516602,10000000
Perl,grow_set,71,0.000257968902587891,10000000
Perl,grow_set,72,0.000222921371459961,10000000
Perl,grow_set,73,0.000222921371459961,10000000
Perl,grow_set,74,0.000225067138671875,10000000
Perl,grow_set,75,0.000242948532104492,10000000
Perl,grow_set,76,0.000257968902587891,10000000
Perl,grow_set,77,0.000223875045776367,10000000
Perl,grow_set,78,0.000223875045776367,10000000
Perl,grow_set,79,0.000247955322265625,10000000
